YEAR,NAME,SAEMHI_LB90,SAEMHI_PT,SAEMHI_UB90,SAEPOVRT0_17_PT,SAEPOVALL_PT,SAEPOVRTALL_PT,YEAR,state,county
2013,Douglas County,100947,105192,109437,3.8,11004,3.6,2013,08,035
2013,Eagle County,73601,78517,83433,13.6,4975,9.5,2013,08,037
2013,Elbert County,74329,80972,87615,9.1,1580,6.7,2013,08,039
2013,El Paso County,54795,57072,59349,13.8,72360,11.4,2013,08,041
2013,Fremont County,38213,41412,44611,31.2,7458,19.7,2013,08,043
2013,Garfield County,53431,57364,61297,16.4,7008,12.4,2013,08,045
2013,Gilpin County,59010,64962,70914,10.3,450,8.1,2013,08,047
2013,Grand County,51752,57312,62872,16.4,1565,11.0,2013,08,049
2013,Gunnison County,43941,48391,52841,18.1,2010,13.7,2013,08,051
2013,Hinsdale County,47638,52188,56738,31.2,84,10.6,2013,08,053
2013,Huerfano County,29496,32418,35340,40.2,1450,22.8,2013,08,055
2013,Jackson County,39146,43549,47952,26.2,214,15.7,2013,08,057
2013,Jefferson County,66199,68161,70123,12.6,49495,9.1,2013,08,059
2013,Kiowa County,38152,42378,46604,20.2,181,12.9,2013,08,061
2013,Kit Carson County,36012,39633,43254,19.5,1094,15.1,2013,08,063
2013,Lake County,43013,47547,52081,26.8,1058,14.7,2013,08,065
2013,La Plata County,54903,58675,62447,14.6,6356,12.4,2013,08,067
2013,Larimer County,56730,59337,61944,12.7,42547,13.8,2013,08,069
2013,Las Animas County,35163,38547,41931,25.3,2464,18.0,2013,08,071
2013,Lincoln County,37423,41510,45597,24.5,837,19.1,2013,08,073
2013,Logan County,39735,43561,47387,19.0,3131,16.9,2013,08,075
2013,Mesa County,44489,48108,51727,19.3,22046,15.4,2013,08,077
2013,Mineral County,45284,50286,55288,14.0,71,9.9,2013,08,079
2013,Moffat County,53298,58890,64482,16.4,1487,11.5,2013,08,081
2013,Montezuma County,39806,43655,47504,30.2,4844,19.1,2013,08,083
2013,Montrose County,40026,43946,47866,23.3,6062,15.1,2013,08,085
2013,Morgan County,42818,46332,49846,20.4,3752,13.5,2013,08,087
2013,Otero County,33650,36811,39972,35.1,4085,22.5,2013,08,089
2013,Ouray County,53674,58137,62600,16.6,448,9.8,2013,08,091
2013,Park County,51894,57510,63126,15.9,1644,10.3,2013,08,093
2013,Phillips County,42136,46805,51474,17.3,534,12.4,2013,08,095
2013,Pitkin County,64058,71012,77966,8.9,1264,7.3,2013,08,097
2013,Prowers County,35423,38830,42237,31.0,2591,21.7,2013,08,099
2013,Pueblo County,39137,41352,43567,27.4,31539,20.1,2013,08,101
2013,Rio Blanco County,53422,59364,65306,11.7,699,10.7,2013,08,103
2013,Rio Grande County,37207,39834,42461,28.9,2077,17.9,2013,08,105
2013,Routt County,57464,63763,70062,12.1,2076,8.9,2013,08,107
2013,Saguache County,32502,35310,38118,43.0,1818,29.4,2013,08,109
2013,San Juan County,38011,41683,45355,27.2,108,15.7,2013,08,111
2013,San Miguel County,48583,53674,58765,18.0,909,11.9,2013,08,113
2013,Sedgwick County,36143,39980,43817,22.9,338,14.5,2013,08,115
2013,Summit County,57132,63236,69340,13.1,2647,9.3,2013,08,117
2013,Teller County,57554,62725,67896,15.1,1939,8.4,2013,08,119
2013,Washington County,41332,45572,49812,19.9,645,14.0,2013,08,121
2013,Weld County,56356,58404,60452,16.6,34706,13.2,2013,08,123
2013,Yuma County,40944,45487,50030,18.9,1291,13.0,2013,08,125
2013,Fairfield County,79824,81816,83808,11.9,88010,9.6,2013,09,001
2013,Hartford County,61339,63491,65643,17.4,105605,12.1,2013,09,003
2013,Litchfield County,67462,70519,73576,9.2,13320,7.2,2013,09,005
2013,Middlesex County,71003,75335,79667,7.6,11735,7.3,2013,09,007
2013,New Haven County,56561,58672,60783,17.7,106771,12.8,2013,09,009
2013,New London County,59885,62638,65391,13.4,24564,9.4,2013,09,011
2013,Tolland County,70145,73660,77175,7.0,8744,6.4,2013,09,013
2013,Windham County,51760,55948,60136,18.0,14639,13.0,2013,09,015
2013,Kent County,51364,53811,56258,20.2,22162,13.5,2013,10,001
2013,New Castle County,60934,63033,65132,16.9,63555,11.9,2013,10,003
2013,Sussex County,48320,50207,52094,24.6,30057,14.8,2013,10,005
2013,District of Columbia,64245,66326,68407,29.3,115096,18.8,2013,11,001
2013,Alachua County,37259,39614,41969,25.7,62056,25.7,2013,12,001
2013,Baker County,42029,46505,50981,25.6,4621,18.8,2013,12,003
2013,Bay County,43105,45249,47393,28.4,30719,18.0,2013,12,005
2013,Bradford County,36838,40668,44498,29.1,5126,21.8,2013,12,007
2013,Brevard County,44910,46677,48444,21.9,81663,15.0,2013,12,009
2013,Broward County,49597,50343,51089,19.5,276804,15.2,2013,12,011
2013,Calhoun County,31006,33977,36948,32.7,3018,23.8,2013,12,013
2013,Charlotte County,41980,43611,45242,25.3,23295,14.4,2013,12,015
2013,Citrus County,36882,39285,41688,29.1,23632,17.3,2013,12,017
2013,Clay County,54642,57991,61340,14.1,19259,9.9,2013,12,019
2013,Collier County,52015,55584,59153,24.1,45016,13.4,2013,12,021
2013,Columbia County,38915,41722,44529,29.5,11780,18.8,2013,12,023
2013,DeSoto County,30551,33198,35845,46.5,10572,33.9,2013,12,027
